524286 1.69438 2.76898 3.22279 1.16125 1.52361 1.3424 
1048572 1.74978 2.57846 3.93273 1.55738 1.38303 2.04349 
2097144 1.75713 3.15935 4.10968 1.84308 1.78651 1.84987 
4194288 1.80091 3.15174 3.96821 2.02151 2.10083 2.55673 
8388576 1.81031 3.44478 4.46956 3.03557 3.13515 2.96129 
16777152 1.81912 3.5303 4.77521 2.83305 3.40526 4.07141 
33554304 1.8191 3.56933 4.92617 3.79605 4.28989 3.95867 
67108608 1.82774 3.56637 5.02266 3.83432 4.38098 4.27995 
134217216 1.82523 3.58289 5.09791 4.16444 4.23565 4.71383 
268434432 1.82426 3.58857 5.10662 4.29885 5.04274 4.80233 
